year,age,f
1952,0,2.19623052468892e-05
1953,0,3.49857859246845e-05
1954,0,0.000202554177479564
1955,0,0.000188337588481616
1956,0,0.000164488498132285
1957,0,0.000267897694844141
1958,0,0.00031618286013445
1959,0,0.000239685676310241
1960,0,0.000212565502245651
1961,0,0.000433904788983395
1962,0,0.000370717130009808
1963,0,0.000618812863845693
1964,0,0.000235248103835498
1965,0,0.000522533852205487
1966,0,0.000552283055016696
1967,0,0.000563329443446609
1968,0,0.000471678941124294
1969,0,0.000334993342136089
1970,0,0.000456970710030357
1971,0,0.000602365217615876
1972,0,0.000508996222791695
1973,0,0.000446637172810979
1974,0,0.000738868772755743
1975,0,0.000788974425236451
1976,0,0.00107930171850034
1977,0,0.000523950296668215
1978,0,0.000622132473528835
1979,0,0.00114011836663888
1980,0,0.00121229065972834
1981,0,0.00144456347159494
1982,0,0.0010245151952518
1983,0,0.000727457234620096
1984,0,0.00108339850964628
1985,0,0.00139252290890102
1986,0,0.00101647899276877
1987,0,0.00116559510352671
1988,0,0.00200577545741265
1989,0,0.00135998753931151
1990,0,0.0014935072235785
1991,0,0.00103857269515721
1992,0,0.00138003168531313
1993,0,0.0012255935253923
1994,0,0.00183721500071553
1995,0,0.00147419049906907
1996,0,0.00166104980438904
1997,0,0.00196115517249702
1998,0,0.00338721431185211
1999,0,0.00379289783052881
2000,0,0.00352098831890683
2001,0,0.00455965419761037
2002,0,0.00723702088114746
2003,0,0.00539846847042216
2004,0,0.00745897295395115
2005,0,0.00474543557174491
2006,0,0.00667360255684868
2007,0,0.00524554778725715
2008,0,0.00693727143148002
2009,0,0.00772610872782329
2010,0,0.00537359813104833
2011,0,0.00806339782222304
2012,0,0.0073837133015122
2013,0,0.00819739113369935
2014,0,0.0095561790140748
2015,0,0.0105540999819846
2016,0,0.0102984409568482
2017,0,0.0109005299436621
2018,0,0.01189186018959
2019,0,0.00924924320514358
2020,0,0.00580549739753894
2021,0,0.00577989901296602
2022,0,0.00722451279305574
2023,0,0.00603774320785403
1952,1,8.83608369667393e-05
1953,1,0.000201614254294205
1954,1,0.00121478228337923
1955,1,0.00140343930869201
1956,1,0.0011463713980266
1957,1,0.00120876959253368
1958,1,0.00193233625021604
1959,1,0.00189775613423491
1960,1,0.00133792333364471
1961,1,0.00234905900454034
1962,1,0.00244301255778029
1963,1,0.00367570872596787
1964,1,0.00177962061057257
1965,1,0.00440452119692306
1966,1,0.00471046813724701
1967,1,0.00381568424529296
1968,1,0.00546810841965583
1969,1,0.00383430790560446
1970,1,0.00402881182649518
1971,1,0.00612225496572293
1972,1,0.00599883006282296
1973,1,0.00527097907433594
1974,1,0.00710018252321859
1975,1,0.00500195129967898
1976,1,0.00805807743659944
1977,1,0.00296949039098265
1978,1,0.00400677896264099
1979,1,0.00681040682720328
1980,1,0.0078271337280165
1981,1,0.0089198235482302
1982,1,0.0082306956890504
1983,1,0.00547441238538356
1984,1,0.00701124876838389
1985,1,0.00923629863505506
1986,1,0.00764057814956933
1987,1,0.00799796675090687
1988,1,0.0124848391946343
1989,1,0.00996659859022311
1990,1,0.00907124970418557
1991,1,0.007401458848872
1992,1,0.00900673543021935
1993,1,0.00767418664201579
1994,1,0.0108200220334687
1995,1,0.00808298861044269
1996,1,0.0114718475401301
1997,1,0.0156438752927632
1998,1,0.0218376115803512
1999,1,0.0253499713545491
2000,1,0.0268417581762223
2001,1,0.0330718966040504
2002,1,0.0397668508799743
2003,1,0.0347368293209159
2004,1,0.0432211619542512
2005,1,0.0307654445798531
2006,1,0.0399098822433415
2007,1,0.035689069761677
2008,1,0.0374095939829619
2009,1,0.0375712228587072
2010,1,0.028936808969396
2011,1,0.0397357828983076
2012,1,0.038922167253056
2013,1,0.0397451745743761
2014,1,0.0460444746699068
2015,1,0.0495908954460202
2016,1,0.0459255361139607
2017,1,0.0486577632038485
2018,1,0.0558079406002034
2019,1,0.0441515431258093
2020,1,0.0304696868871271
2021,1,0.0303817041345402
2022,1,0.0340706637783944
2023,1,0.0341281078697422
1952,2,0.000143036231376967
1953,2,0.000335194167623182
1954,2,0.00202492816591468
1955,2,0.002880094961116
1956,2,0.00236618611915308
1957,2,0.00196902026461331
1958,2,0.00341124059740363
1959,2,0.00385200643821131
1960,2,0.00257218848157228
1961,2,0.00451568962303532
1962,2,0.00416533724543526
1963,2,0.00630139675300875
1964,2,0.00315692078786487
1965,2,0.00740385659741058
1966,2,0.00847747961776556
1967,2,0.00697110594840263
1968,2,0.00976454849515228
1969,2,0.00750942386132526
1970,2,0.00710408193723659
1971,2,0.011458328513392
1972,2,0.0115238594483304
1973,2,0.0100124943190647
1974,2,0.0127433096630339
1975,2,0.0088364718269094
1976,2,0.014222799418009
1977,2,0.00554908938368422
1978,2,0.00687404950184362
1979,2,0.0123470715901789
1980,2,0.0138794237172289
1981,2,0.0168497947188277
1982,2,0.0158143425875898
1983,2,0.0105142392841976
1984,2,0.0123532074067644
1985,2,0.0160405611991868
1986,2,0.0149210708719068
1987,2,0.0150771993116378
1988,2,0.0232653724348135
1989,2,0.0182020909123706
1990,2,0.0159957728763065
1991,2,0.0133729168838654
1992,2,0.0163236325283928
1993,2,0.013671676080407
1994,2,0.0194158962726523
1995,2,0.0140029436136319
1996,2,0.0203940686650984
1997,2,0.0281170801282571
1998,2,0.0384109008980477
1999,2,0.0443086224425966
2000,2,0.0501573695055603
2001,2,0.0609639778055271
2002,2,0.0699425677048699
2003,2,0.0667854392475069
2004,2,0.0794868174006216
2005,2,0.0604108141496794
2006,2,0.0795334151697565
2007,2,0.0780656134442447
2008,2,0.0724374517993382
2009,2,0.0664669641538207
2010,2,0.0538845465337497
2011,2,0.0707730209370426
2012,2,0.0718984049108159
2013,2,0.0714110811673691
2014,2,0.0812234152852231
2015,2,0.0870876367134384
2016,2,0.0777541897943362
2017,2,0.081635058255705
2018,2,0.0969741538380023
2019,2,0.0773342610329197
2020,2,0.0591327125751389
2021,2,0.057757618737503
2022,2,0.0608461556183061
2023,2,0.065491703276781
1952,3,0.000159640060752955
1953,3,0.000385519074250191
1954,3,0.00232671834919074
1955,3,0.00357442733033609
1956,3,0.00289471631496704
1957,3,0.0021948954056368
1958,3,0.00395031070015045
1959,3,0.00466933583772131
1960,3,0.00312305865816081
1961,3,0.00543760565529436
1962,3,0.00479075305485296
1963,3,0.00717659733129358
1964,3,0.00364190222307378
1965,3,0.00833309227003204
1966,3,0.0098435505644293
1967,3,0.00823622529363819
1968,3,0.0112923483783875
1969,3,0.00916044450892951
1970,3,0.00832185664944177
1971,3,0.0139854154018623
1972,3,0.0140651965746599
1973,3,0.0118271627802572
1974,3,0.0149312865246771
1975,3,0.0101920924777673
1976,3,0.0165548182563706
1977,3,0.00661406596349234
1978,3,0.00768459014486054
1979,3,0.0144673353649574
1980,3,0.0161121864626384
1981,3,0.0204093829870541
1982,3,0.0192410990937293
1983,3,0.0126317174426569
1984,3,0.0143670710731747
1985,3,0.0182378071267951
1986,3,0.0182043736359994
1987,3,0.0181418459817114
1988,3,0.0273207121034059
1989,3,0.0210740754647354
1990,3,0.0184714173477228
1991,3,0.015486868003332
1992,3,0.0188603023397523
1993,3,0.015347863039779
1994,3,0.0218579729262667
1995,3,0.0155591589945545
1996,3,0.0227578481853411
1997,3,0.0317317259750323
1998,3,0.0425411289513465
1999,3,0.0487273327688023
2000,3,0.0562949240008992
2001,3,0.068178830403466
2002,3,0.0771227030029214
2003,3,0.0772156818124776
2004,3,0.0903561141000832
2005,3,0.0717794707215788
2006,3,0.094301579917064
2007,3,0.0973606031809754
2008,3,0.0857562676417363
2009,3,0.0746955921901466
2010,3,0.0617448296959464
2011,3,0.0793490416445937
2012,3,0.0822336529077491
2013,3,0.0806882838250697
2014,3,0.0905182743680931
2015,3,0.0973102156464718
2016,3,0.0849962203493088
2017,3,0.0892012909368111
2018,3,0.107195437480657
2019,3,0.086845544146094
2020,3,0.0702817627755085
2021,3,0.0674139040266666
2022,3,0.0697329331951483
2023,3,0.0772418411346681
1952,4,0.000154343591858933
1953,4,0.000388450927833493
1954,4,0.00237866118500532
1955,4,0.00364675490534244
1956,4,0.002928486258742
1957,4,0.00213338016340516
1958,4,0.00396928403809475
1959,4,0.00469296356815266
1960,4,0.00318556516725031
1961,4,0.00545909740134156
1962,4,0.00491629796152689
1963,4,0.00719508031258749
1964,4,0.00371132017095284
1965,4,0.00857107508365652
1966,4,0.0101342964684394
1967,4,0.00848714763125212
1968,4,0.0118354572906077
1969,4,0.00979435091696058
1970,4,0.00879335605294715
1971,4,0.0152365268401084
1972,4,0.0153217169153514
1973,4,0.0124517019861405
1974,4,0.0157077216339039
1975,4,0.0104104476760963
1976,4,0.0170912702430698
1977,4,0.00665735972410835
1978,4,0.0076923934840264
1979,4,0.014675741883863
1980,4,0.0164181995194602
1981,4,0.0211580034091977
1982,4,0.0201242895688435
1983,4,0.0131104551925221
1984,4,0.014747523098367
1985,4,0.0183752535358513
1986,4,0.0188598663187098
1987,4,0.0187423765646267
1988,4,0.0276445362190827
1989,4,0.0213811668747934
1990,4,0.0186508636153257
1991,4,0.0157803907958944
1992,4,0.0193180663656235
1993,4,0.0152993330368824
1994,4,0.0216309970690852
1995,4,0.0153256473522523
1996,4,0.022738377302814
1997,4,0.032492148081675
1998,4,0.0427195290600021
1999,4,0.0484628662396065
2000,4,0.0558070135049176
2001,4,0.0674373761044866
2002,4,0.0755776837536903
2003,4,0.0770963495566321
2004,4,0.0888490909970133
2005,4,0.0723194163535321
2006,4,0.0936450896802455
2007,4,0.0986353592962189
2008,4,0.0843375762705832
2009,4,0.0714158373661831
2010,4,0.0601336761363497
2011,4,0.0762284856344576
2012,4,0.0797402836968801
2013,4,0.0778351115660313
2014,4,0.0864069245996081
2015,4,0.0931045960495958
2016,4,0.080798462208468
2017,4,0.0845031947590333
2018,4,0.101604505055582
2019,4,0.0839162183202892
2020,4,0.0692218277867781
2021,4,0.0660979547513997
2022,4,0.0678872201932
2023,4,0.0770728752590406
1952,5,0.000141127335080065
1953,5,0.000371765761255481
1954,5,0.00233992384334493
1955,5,0.00350179331833
1956,5,0.00281105769404857
1957,5,0.00198740206744792
1958,5,0.00382271601549446
1959,5,0.00446562754941246
1960,5,0.00308734181809826
1961,5,0.00519495172694199
1962,5,0.00486762360881009
1963,5,0.00694192213680565
1964,5,0.00364038334440221
1965,5,0.0085760280835488
1966,5,0.0100621054028644
1967,5,0.00840158136051351
1968,5,0.01204872157364
1969,5,0.0100825046635103
1970,5,0.00899492755722289
1971,5,0.0160725584276593
1972,5,0.0161286732899666
1973,5,0.0126393925718103
1974,5,0.0159817734723642
1975,5,0.0102686464435166
1976,5,0.0170201023884955
1977,5,0.00635941379400083
1978,5,0.00744291203610375
1979,5,0.014276032439916
1980,5,0.0160933147024501
1981,5,0.0209462264422087
1982,5,0.0200790561099171
1983,5,0.013019326516314
1984,5,0.0145998756648508
1985,5,0.0178705410088779
1986,5,0.0185620841552021
1987,5,0.0184599368161644
1988,5,0.0267645627764438
1989,5,0.0208362479475541
1990,5,0.0181015443932662
1991,5,0.015494906772391
1992,5,0.0191281723553056
1993,5,0.0147455983516901
1994,5,0.0206556310538593
1995,5,0.0145993370949265
1996,5,0.0220428125779568
1997,5,0.0323602694983061
1998,5,0.041826167619199
1999,5,0.0470428514968893
2000,5,0.0535562793389454
2001,5,0.0645329685367324
2002,5,0.0718777814141731
2003,5,0.0740192266663202
2004,5,0.0840734881548015
2005,5,0.069495674078149
2006,5,0.0887689208834572
2007,5,0.0941052145447662
2008,5,0.0786620554204244
2009,5,0.0653465417987172
2010,5,0.0558487168281147
2011,5,0.0699167537170126
2012,5,0.073662695841453
2013,5,0.0718347524285999
2014,5,0.0790563388231411
2015,5,0.0853772421558368
2016,5,0.074158388539757
2017,5,0.0771158506370091
2018,5,0.0922793084243208
2019,5,0.0778095630964807
2020,5,0.0646339496946683
2021,5,0.0617175446113286
2022,5,0.0630096902604537
2023,5,0.073309297172753
1952,6,0.00012755226897164
1953,6,0.000348438613352496
1954,6,0.00225948258528413
1955,6,0.00331014976907423
1956,6,0.00266323145887193
1957,6,0.0018328548487543
1958,6,0.00363073569603392
1959,6,0.00418999800597041
1960,6,0.00294632804681871
1961,6,0.00488112977571598
1962,6,0.00474475969858334
1963,6,0.0066063723057742
1964,6,0.00351400526040974
1965,6,0.00842181422187288
1966,6,0.00981691284099807
1967,6,0.0081888991700879
1968,6,0.012011243204437
1969,6,0.0101964490413644
1970,6,0.00901288834376167
1971,6,0.0166202002229625
1972,6,0.0166401962763142
1973,6,0.0125302032669175
1974,6,0.0159259499769621
1975,6,0.0100013647636607
1976,6,0.0166784598853833
1977,6,0.00600064387028401
1978,6,0.00709665304271445
1979,6,0.0136931900440087
1980,6,0.0155683329573779
1981,6,0.0204310661664574
1982,6,0.0196739193274597
1983,6,0.0127096043228631
1984,6,0.0142560823961038
1985,6,0.0171423270523509
1986,6,0.017957697091461
1987,6,0.0178639638501178
1988,6,0.0255610099554887
1989,6,0.019999925226551
1990,6,0.0173221159172967
1991,6,0.0149948950759603
1992,6,0.0186935870290168
1993,6,0.0140364005493429
1994,6,0.0195057590273996
1995,6,0.0137679656955995
1996,6,0.0210729253052511
1997,6,0.0316257908344504
1998,6,0.0403831104872174
1999,6,0.0450952514747988
2000,6,0.0508378282975906
2001,6,0.0610552473925064
2002,6,0.0677135629861662
2003,6,0.0703519699059096
2004,6,0.0789275125780408
2005,6,0.065936976351931
2006,6,0.0834711103962868
2007,6,0.0888921593632865
2008,6,0.0726893570497223
2009,6,0.0595346041279646
2010,6,0.0514397789235999
2011,6,0.0634717544894642
2012,6,0.0673194211629271
2013,6,0.065806705777386
2014,6,0.071907959530891
2015,6,0.0779482083204956
2016,6,0.0678536839114628
2017,6,0.0700646363047976
2018,6,0.0834511493865535
2019,6,0.0716280511912906
2020,6,0.0597506025328037
2021,6,0.0571557177302219
2022,6,0.0579708670637649
2023,6,0.0689120670056779
1952,7,0.000115801573750871
1953,7,0.000324289972556227
1954,7,0.00215502913219921
1955,7,0.00311364488782875
1956,7,0.00251332651428791
1957,7,0.00169097724484106
1958,7,0.00342449437082328
1959,7,0.00391591055956014
1960,7,0.00279157804678356
1961,7,0.00457564927836753
1962,7,0.00457720575923646
1963,7,0.00623781862752097
1964,7,0.00335447824715815
1965,7,0.00812530134639126
1966,7,0.009438893105753
1967,7,0.00789177245439698
1968,7,0.0117333651620122
1969,7,0.0101393085187288
1970,7,0.00886991125820074
1971,7,0.0168388844641301
1972,7,0.0168111460747277
1973,7,0.0121865991536792
1974,7,0.0155420294524903
1975,7,0.00963861597771387
1976,7,0.0161418245894298
1977,7,0.00564732416346564
1978,7,0.00669330102593724
1979,7,0.0130316287818299
1980,7,0.0149192536506222
1981,7,0.0197659633103954
1982,7,0.0190086204411588
1983,7,0.0122487807578292
1984,7,0.0137727066308165
1985,7,0.0162819907555929
1986,7,0.0171900902729192
1987,7,0.017086724202136
1988,7,0.0242021455680157
1989,7,0.019006077891313
1990,7,0.016439702133094
1991,7,0.0143390230004913
1992,7,0.0180630932150506
1993,7,0.013253808665079
1994,7,0.0182878479540319
1995,7,0.012899690925636
1996,7,0.0199255745023081
1997,7,0.0303679260518606
1998,7,0.0384757877322651
1999,7,0.0427801225888647
2000,7,0.0478935013627193
2001,7,0.057448045199991
2002,7,0.0634979371618784
2003,7,0.0665877223324384
2004,7,0.0739475001890348
2005,7,0.062231813173411
2006,7,0.0784227781316934
2007,7,0.0839163936441001
2008,7,0.0673206443849602
2009,7,0.0544407325708511
2010,7,0.0474203263213562
2011,7,0.0578225968993807
2012,7,0.0614633215068547
2013,7,0.0603121053607908
2014,7,0.0655790682197912
2015,7,0.0714533675448339
2016,7,0.0623068971686539
2017,7,0.0638510842833717
2018,7,0.075796206384058
2019,7,0.0659823507636148
2020,7,0.0551883073188478
2021,7,0.0528881812180012
2022,7,0.0533794433067558
2023,7,0.0644656467250731
1952,8,0.000106735821679465
1953,8,0.00030286005018574
1954,8,0.00204540492191775
1955,8,0.00292729097131774
1956,8,0.00237183225539341
1957,8,0.00156858618056361
1958,8,0.00322460984875155
1959,8,0.00366259481199289
1960,8,0.00263881617419372
1961,8,0.00429715849525563
1962,8,0.00439581488769802
1963,8,0.00587614478206888
1964,8,0.00318733055019057
1965,8,0.00775794564639679
1966,8,0.00899951550535801
1967,8,0.00755640590893809
1968,8,0.0113236593504949
1969,8,0.00996249449299867
1970,8,0.00862378877513469
1971,8,0.0168150726260351
1972,8,0.0167196850237454
1973,8,0.0117051083546623
1974,8,0.0149909588989642
1975,8,0.0092226592180702
1976,8,0.0155075108431709
1977,8,0.00532134843919935
1978,8,0.00628526348873243
1979,8,0.0123627563975621
1980,8,0.0142378940645825
1981,8,0.0190305285597575
1982,8,0.0182254972871411
1983,8,0.01170048310615
1984,8,0.0132244162948457
1985,8,0.0153911126949119
1986,8,0.0163619594250167
1987,8,0.016239694213582
1988,8,0.0228263440574581
1989,8,0.0179650167651503
1990,8,0.0155543211540876
1991,8,0.0136237736858175
1992,8,0.0173167855355199
1993,8,0.0124730922199056
1994,8,0.01710153882879
1995,8,0.0120546911631807
1996,8,0.0187276175708551
1997,8,0.0288679718417419
1998,8,0.0363839598682235
1999,8,0.0403635915172913
2000,8,0.0449821223433783
2001,8,0.0539714740926074
2002,8,0.0595159105300848
2003,8,0.0629561091124711
2004,8,0.0693569529585211
2005,8,0.0586287509939982
2006,8,0.0738454398143484
2007,8,0.0792947222931402
2008,8,0.0626283125697772
2009,8,0.0501510182325483
2010,8,0.0438637900665986
2011,8,0.0530831525238378
2012,8,0.056448896021965
2013,8,0.0554227209918741
2014,8,0.0600208582598764
2015,8,0.0658427046798704
2016,8,0.0574850089784904
2017,8,0.0585035589833967
2018,8,0.0693000090688037
2019,8,0.0609452623704112
2020,8,0.0511334116246827
2021,8,0.049005883464574
2022,8,0.049273902291472
2023,8,0.0602114700952047
1952,9,9.97011499865174e-05
1953,9,0.000285421899341379
1954,9,0.00194491209662917
1955,9,0.00275998722544219
1956,9,0.00224340312544808
1957,9,0.00146695344457641
1958,9,0.00304614188606791
1959,9,0.00344016755319149
1960,9,0.00249898088613
1961,9,0.00405223929508324
1962,9,0.00422755965322531
1963,9,0.00555280295158006
1964,9,0.00303419015589004
1965,9,0.00739971344060738
1966,9,0.00857236797437546
1967,9,0.00723031984046938
1968,9,0.0108974604124788
1969,9,0.00973920173880633
1970,9,0.00835110332892776
1971,9,0.0166586404578447
1972,9,0.0165077187869999
1973,9,0.011201332490948
1974,9,0.0144103299493783
1975,9,0.00882285278340153
1976,9,0.0148738597581034
1977,9,0.00503455361670808
1978,9,0.00592390320224801
1979,9,0.0117511600228174
1980,9,0.0136027604358169
1981,9,0.018319107205221
1982,9,0.0174405097926933
1983,9,0.011161826248889
1984,9,0.0126804107977289
1985,9,0.0145717054774163
1986,9,0.0155695874416668
1987,9,0.0154304479865962
1988,9,0.0215636055551989
1989,9,0.0170111911630988
1990,9,0.0147417989099475
1991,9,0.0129467854501595
1992,9,0.0165823457935132
1993,9,0.0117602272828458
1994,9,0.0160384379553817
1995,9,0.0113035422602261
1996,9,0.0176186535481249
1997,9,0.0273919645100947
1998,9,0.034414903764721
1999,9,0.0381347080790168
2000,9,0.0423399695817957
2001,9,0.0508542836200398
2002,9,0.0559574894418382
2003,9,0.0596399252541134
2004,9,0.065258298027427
2005,9,0.0553383261779065
2006,9,0.0697396612698317
2007,9,0.0751950573109223
2008,9,0.0585865585095621
2009,9,0.0466000942741079
2010,9,0.040849612875086
2011,9,0.0491550766762934
2012,9,0.0522915519753309
2013,9,0.0513447195515501
2014,9,0.0551944889558938
2015,9,0.0609429403870521
2016,9,0.0533408211909547
2017,9,0.0539666342548637
2018,9,0.0638697376192357
2019,9,0.0565816172329852
2020,9,0.0475936097311237
2021,9,0.0456350103328282
2022,9,0.0456838094567998
2023,9,0.056324211054321
1952,10,9.45786671017703e-05
1953,10,0.000271841594464469
1954,10,0.00186032190956643
1955,10,0.00261431279429059
1956,10,0.0021298524594416
1957,10,0.00138442167046015
1958,10,0.0028946978324705
1959,10,0.00325018841459099
1960,10,0.00237663030098982
1961,10,0.00384162206842272
1962,10,0.00408638441216609
1963,10,0.00528146747703113
